disbursed,via,cur,amount,value,recipient,purpose
2023-06-30,SFC,USD,"15,272","$15,272",SFC (costs),Misc Projects
2023-06-30,SFC,USD,"35,540","$35,540",SFC (costs),V-process development
2023-06-30,SFC,USD,"187,948","$187,948",SFC (costs),S-process execution
2023-06-30,SFC,USD,"21,675","$21,675",SFC (costs),M&G
2023-07-03,SFF,USD,"145,000","$145,000",Rethink Priorities,General support for the Quantified Uncertainty Research Institute
2023-07-05,SFF,USD,"20,000","$20,000",Center for Applied Rationality,General support for Singular Learning Theory Summit organizers
2023-07-05,SFF,USD,"200,000","$200,000",Effective Ventures Foundation,General support for Longview Philanthropy
2023-07-06,FP-US,USD,"300,000","$300,000",RadicalxChange Foundation,General support
2023-07-06,FP-US,USD,"159,000","$159,000",University of Louisville Foundation,General support for Dr. Roman Yampolskiy’s Research Group (Cybersecurity Lab)
2023-07-06,SFC,USD,"250,000","$250,000",Conception Biosciences,General support
2023-07-06,SFF,USD,"20,000","$20,000",Ashgro Inc/Sangro,General support for Apart Research
2023-07-06,SFF,USD,"95,000","$95,000",Players Philanthropy Fund,General support for EthicsNet
2023-07-11,SFF,USD,"250,000","$250,000",Center for Applied Rationality,General support for Lightcone Infrastructure
2023-07-11,SFF,USD,"15,000","$15,000",Nine Muses Foundation,General support for Effective Institutions Project
2023-07-11,SFF,USD,"100,000","$100,000",Rethink Priorities,For general operating support
2023-07-11,SFF,USD,"70,000","$70,000",Topos Institute,For general operating support
2023-07-13,FP-US,USD,"100,000","$100,000",Massachusetts Institute of Tech,General support for Tegmark Lab Fund
2023-07-13,SFF,USD,"99,000","$99,000",Nine Muses Foundation,General support for Effective Institutions Project
2023-07-19,SFF,USD,"200,000","$200,000",Ashgro Inc/Sangro,General support for Orthogonal
2023-07-19,SFF,USD,"75,000","$75,000",Ashgro Inc/Sangro,General support for Orthogonal
2023-07-20,SFF,USD,"72,000","$72,000",Machine Intelligence Research Institute,General support for AI Impacts
2023-07-20,SFF,USD,"175,500","$175,500",Rethink Priorities,General support for the AI Governance and Strategy team
2023-07-27,FP-UK,USD,"328,000","$328,000",Applied Utilitarianism Institute,General support
2023-08-08,SFF,USD,"577,000","$577,000",Founders Pledge,General support for the Centre for Long-Term Resilience
2023-08-08,SFF,USD,"200,000","$200,000",Good Forever Foundation,For general operating support
2023-08-10,FP-UK,USD,"269,000","$269,000",AI Safety Support,General support for Holtman Systems Research
2023-08-10,FP-US,USD,"1,000,000","$1,000,000",Massachusetts Institute of Tech,Gift to the Tegmark research group at MIT for General Support
2023-08-11,SFP,USD,"30,333","$30,333",Remmelt Ellen,Facilitating two editions where selected applicants prioritise and test their fit for AI x-safety research
2023-08-15,SFF,USD,"96,000","$96,000",Players Philanthropy Fund,Vael salary component of 2023-h1 grant
2023-08-22,SFC,USD,"600,000","$600,000",Center for AI Safety Action Fund,General support
2023-08-28,direct,USD,"114,658","$114,658",Alex Zhu,Regranting program
2023-09-07,SFC,USD,"26,454","$26,454",SFC (costs),Investing
2023-09-14,FP-UK,USD,"325,000","$325,000",Senter for Langsiktig Politikk,General support for Senter for langsiktig politikk/Centre for Long-Term Policy
2023-09-26,SFC,USD,"116,673","$116,673",SFC (costs),S-process development
2023-09-27,Slimrock,USD,"100,000","$100,000",Integral Research,Donation
2023-09-29,LSG,USD,"1,200","$1,200",Daniel Filan,General support
2023-09-29,LSG,USD,"16,300","$16,300",Elizabeth Van Nostrand,General support
2023-09-29,LSG,USD,"25,000","$25,000",Elizabeth Van Nostrand,General support
2023-09-29,LSG,USD,"22,500","$22,500",Elizabeth Van Nostrand,General support
2023-09-30,SFC,USD,"17,158","$17,158",SFC (costs),Misc Projects
2023-09-30,SFC,USD,"146,471","$146,471",SFC (costs),V-process development
2023-09-30,SFC,USD,"30,537","$30,537",SFC (costs),M&G
2023-09-30,SFC,USD,"68,470","$68,470",SFC (costs),S-process execution
2023-10-02,LSG,USD,"30,000","$30,000",Benjamin Bilski,General support
2023-10-02,LSG,USD,"14,500","$14,500",David Jones,General support
2023-10-02,LSG,USD,"186,600","$186,600",FAR AI,General support
2023-10-02,LSG,USD,"134,500","$134,500",FAR AI,General support
2023-10-02,LSG,USD,"31,500","$31,500",James Denis Fox,General support
2023-10-02,LSG,USD,"210,000","$210,000",James Payor,General support
2023-10-02,LSG,USD,"34,500","$34,500",Liam Carroll,General support
2023-10-03,LSG,USD,"75,000","$75,000",Ashgro,General support for Stampy AI Safety Info
2023-10-03,LSG,USD,"10,000","$10,000",EffiSciences,General support
2023-10-03,LSG,USD,"185,300","$185,300",MATS London,General support
2023-10-03,LSG,USD,"15,800","$15,800",Michael Wiebe,General support
2023-10-03,LSG,USD,"220,200","$220,200",The Hack Foundation,General support for People for Reasonable AI Safety Efforts
2023-10-03,LSG,USD,"57,200","$57,200",Toby Newberry,General support
2023-10-04,LSG,USD,"60,600","$60,600",Effektiv Altruism Sverige,General support for Stefan Schubert
2023-10-04,LSG,USD,"82,700","$82,700",Social and Environmental Entrepreneurs (SEE),General support for Global Shield
2023-10-05,LSG,USD,"47,300","$47,300",Arun Jose,General support
2023-10-06,LSG,USD,"40,000","$40,000","Epistea, Z.S.",General support
2023-10-07,LSG,USD,"9,800","$9,800",Quintin Pope,General support
2023-10-10,LSG,USD,"40,000","$40,000",Aryan Bhatt,General support
2023-10-10,LSG,USD,"438,000","$438,000",Ashgro,General support for Orthogonal
2023-10-10,LSG,USD,"82,700","$82,700","Capital Technology Group, LLC",General support for Automating Expert Assessment of LLMs for National Security Threats
2023-10-10,LSG,USD,"96,500","$96,500",FAR AI,General support for Alex Turner
2023-10-10,LSG,USD,"15,200","$15,200",James Smith,General support
2023-10-10,LSG,USD,"15,200","$15,200",Maximilian Schons,General support
2023-10-10,LSG,USD,"195,500","$195,500",Palisade Research,General support
2023-10-11,LSG,USD,"8,900","$8,900",Dmitrii Krachun,General support
2023-10-11,LSG,USD,"69,900","$69,900",Noa Nabeshima,General support
2023-10-11,LSG,USD,"144,800","$144,800",SaferAI,General support
2023-10-16,Slimrock,USD,"100,000","$100,000",AI Alignment Network,Donation
2023-10-17,LSG,USD,"18,600","$18,600",Francis Rhys Ward,General support
2023-10-18,LSG,USD,"4,900","$4,900",Nikolaus Howe,General support
2023-10-18,SFF,USD,"37,852","$37,852",Effective Ventures Foundation,General support for the Oxford Martin AI Governance Initiative
2023-10-19,FP-UK,GBP,"20,000","$24,252",Prism – The Gift Fund,General support for ACT for Cancer
2023-10-19,LSG,USD,"14,800","$14,800",Gaurav Yadav,General support
2023-10-20,SFF,USD,"356,148","$356,148","Chancellor, Masters and Scholars of University of Cambridge",General support for the Oxford Martin AI Governance Initiative
2023-10-24,LSG,USD,"35,000","$35,000",Amodo Design,General support
2023-10-24,LSG,USD,"9,000","$9,000",Ashgro,General support
2023-10-24,LSG,USD,"15,000","$15,000",Organisation for the Prevention of Intense Suffering,General support
2023-10-25,SFF,USD,"100,000","$100,000",American Governance Foundation,General support for Palladium Magazine
2023-10-26,LSG,USD,"57,500","$57,500",Adam Shai,General support
2023-10-26,LSG,USD,"185,500","$185,500","Epistea, Z.S.",General support for Alignment of Complex Systems Research Group
2023-11-03,LSG,USD,"30,400","$30,400","Epistea, Z.S.",General support for Women in AI safety
2023-11-03,LSG,USD,"8,300","$8,300",Luke Samuel Marks,General support
2023-11-08,LSG,USD,"92,900","$92,900","Epistea, Z.S.",General support for Arb Research
2023-11-13,SFC,USD,"6,000","$6,000",Amodo Design,General support to for-profit entity
2023-11-14,LSG,USD,809,$809,LSG (costs),Bank fees
2023-11-14,Slimrock,USD,"615,850","$615,850",Secure Future Research,"Donation (500,000 GBP @ 1.2317)"
2023-11-15,LSG,USD,"48,700","$48,700",Rajashree Agrawal,General support
2023-11-16,FP-UK,GBP,"50,000","$62,083",Technology Strategy Roleplay,General support
2023-11-16,LSG,USD,"15,028","$15,028",Matija Franklin,General support
2023-11-16,SFC,USD,"17,718","$17,718",SFC (costs),Investing
2023-11-17,LSG,USD,"250,000","$250,000",Center for AI Policy,General support
2023-11-17,LSG,USD,"15,028","$15,028",Philip Tomei,General support
2023-11-20,LSG,USD,"199,900","$199,900",Legal Priorities,General support
2023-11-20,LSG,USD,"60,000","$60,000",Lucy Farnik,General support
2023-11-20,LSG,USD,"13,800","$13,800",President and Fellows of Harvard College,General support
2023-11-20,LSG,USD,"239,500","$239,500",Rethink Priorities,General support for Apollo Research
2023-11-22,LSG,USD,"30,000","$30,000",Alexandra Bos,General support for Alexandra Bos / Catalyze Impact
2023-11-22,LSG,USD,"9,600","$9,600",Xiangyu Hu [胡翔宇],General support for Xiangyu Hu
2023-11-24,FP-UK,USD,"100,000","$100,000",Founders Pledge,General support
2023-11-28,LSG,USD,"55,000","$55,000",Effektiver Altruismus Deutschland e.V.,General support for European Network for AI Safety
2023-11-28,LSG,USD,"30,000","$30,000",Gregory Colbourn,General support
2023-11-30,FP-US,USD,"60,000","$60,000",Berkeley Existential Risk Initiative,General support
2023-11-30,FP-US,USD,"97,000","$97,000",Berkeley Existential Risk Initiative,General support for MATS London
2023-11-30,FP-US,USD,"52,000","$52,000",Berkeley Existential Risk Initiative,General support for BERI-SRL Collaboration
2023-11-30,FP-US,USD,"160,000","$160,000",Center for Applied Rationality,General support for Lightcone Infrastructure
2023-11-30,FP-US,USD,"24,000","$24,000",Earth Law Center,General support
2023-11-30,FP-US,USD,"103,000","$103,000",Legal Priorities Project,General support
2023-11-30,FP-US,USD,"100,000","$100,000",RadicalxChange Foundation,"General support for Honor Society Films, Audrey Tang Project"
2023-11-30,FP-US,USD,"49,000","$49,000",Rethink Priorities,General support for the Rethink Priorities Existential Security Team
2023-11-30,FP-US,USD,"227,000","$227,000",Rethink Priorities,General support for the AI Governance and Strategy team
2023-11-30,FP-US,USD,"96,000","$96,000",The Center for Election Science,General support
2023-12-01,FP-US,USD,"11,000","$11,000",The Future Society,General support
2023-12-01,SFP,USD,"200,000","$200,000",Global Shield,General support
2023-12-05,Solenum,EUR,"15,000","$16,223",Mittetulundusühing Efektiivne Altruism Eesti,Talvine matemaatikalaager 2023
2023-12-06,LSG,USD,"69,900","$69,900",Martha Hollingsworth Elmore,General support
2023-12-07,FP-UK,USD,"835,000","$835,000",SecureBio,General support
2023-12-07,FP-US,USD,"29,000","$29,000",Center for Applied Rationality,General support for Coordination Project
2023-12-07,FP-US,USD,"100,000","$100,000",Players Philanthropy Fund,General support for Spiro Project
2023-12-07,FP-US,USD,"548,000","$548,000",SecureBio,General support
2023-12-12,SFC,USD,"153,000","$153,000",Apollo Research,General support
2023-12-13,Solenum,EUR,"10,000","$10,791",Eesti Matemaatika Selts,Annetus: matemaatika olümpiaadid ja õpe
2023-12-15,FP-US,USD,"107,000","$107,000",Machine Intelligence Research Institute,General support for AI Impacts
2023-12-15,SFC,USD,"125,596","$125,596",SFC (costs),S-process development
2023-12-15,SFF,USD,"30,000","$30,000",Players Philanthropy Fund,General support for Riesgos Catastróficos Globales
2023-12-19,FP-UK,USD,"178,000","$178,000",AI Forensics,General support
2023-12-19,FP-UK,USD,"186,000","$186,000",Epistea Z.S.,General support for PIBBSS
2023-12-19,FP-UK,USD,"189,000","$189,000",Epistea Z.S.,General support
2023-12-19,FP-UK,USD,"58,000","$58,000",Epistea Z.S.,General support for ACS
2023-12-19,LSG,USD,"1,000","$1,000",Daniel Filan,General support
2023-12-19,LSG,USD,"35,900","$35,900",IT for Change,General support
2023-12-19,LSG,USD,"72,000","$72,000",Lantern Bioworks,General support
2023-12-19,LSG,USD,"40,800","$40,800",Nathaniel Monson,General support
2023-12-19,LSG,USD,"19,000","$19,000",Noa Nabeshima,General support
2023-12-20,LSG,USD,"1,000","$1,000",James Denis Fox,General support
2023-12-20,LSG,USD,"16,400","$16,400",Liam Carroll,General support
2023-12-20,LSG,USD,"1,000","$1,000",Michael Wiebe,General support
2023-12-20,LSG,USD,"1,000","$1,000",Nikolaus Howe,General support
2023-12-21,FP-US,USD,"24,000","$24,000",SciArt Initiative,General support for the Intrinsic Perspective
2023-12-21,LSG,USD,"13,400","$13,400",Ashgro,General support for Stampy's AI Safety Info
2023-12-21,LSG,USD,"18,000","$18,000",David Jones,General support
2023-12-21,LSG,USD,"22,000","$22,000","Epistea, Z.S.",General support for Women in AI Safety
2023-12-21,LSG,USD,"27,000","$27,000",Marcell Miklos Acs,General support
2023-12-22,FP-US,USD,"464,000","$464,000",FAR AI,General support
2023-12-26,LSG,USD,"18,000","$18,000",Adam Shai,General support
2023-12-26,LSG,USD,"97,000","$97,000",Ashgro,General support for Stampy's AI Safety Info
2023-12-26,LSG,USD,"1,000","$1,000",Dmitrii Krachun,General support
2023-12-26,LSG,USD,"19,000","$19,000",IT for Change,General support
2023-12-26,LSG,USD,"2,400","$2,400",Johanna Roniger,General support
2023-12-26,LSG,USD,"5,000","$5,000",Luke Samuel Marks,General support
2023-12-26,LSG,USD,"181,000","$181,000",SaferAI,General support
2023-12-26,LSG,USD,"1,000","$1,000",Xiangyu Hu,General support
2023-12-27,FP-US,USD,"909,000","$909,000",Center for Artificial Intelligence Safety,General support
2023-12-27,FP-US,USD,"86,000","$86,000",Convergence Analysis,General support for Technologies for Pandemic Defense
2023-12-27,FP-US,USD,"1,000,000","$1,000,000",Meridian Prime,General support
2023-12-27,FP-US,USD,"455,000","$455,000",Sangro,General support for Timaeus
2023-12-27,FP-US,USD,"189,000","$189,000",The Foundation for American Innovation,General support
2023-12-28,FP-US,USD,"126,000","$126,000",Effective Ventures Foundation USA,General support for the Online Team at the Centre for Effective Altruism
2023-12-28,FP-US,USD,"692,000","$692,000",Effective Ventures Foundation USA,General support for Long-Term Future Fund
2023-12-28,FP-US,USD,"166,000","$166,000",Effective Ventures Foundation USA,General support for the Events team at the Centre for Effective Altruism
2023-12-28,FP-US,USD,"113,000","$113,000",Effective Ventures Foundation USA,General support for Community Health and Special Projects team at the Centre for Effective Altruism
2023-12-28,LSG,USD,"43,000","$43,000",Abhay Sheshadri,General support
2023-12-29,SFF,USD,"80,000","$80,000",Hack Foundation,General support for Biomedical Advancement and Research Institute
2023-12-31,SFC,USD,"41,022","$41,022",SFC (costs),Misc Projects
2023-12-31,SFC,USD,"131,993","$131,993",SFC (costs),S-process execution
2023-12-31,SFC,USD,"178,462","$178,462",SFC (costs),V-process development
2023-12-31,SFC,USD,"25,505","$25,505",SFC (costs),M&G
2024-01-03,LSG,USD,"71,000","$71,000",Jacques Thibodeau,General support
2024-01-03,LSG,USD,"5,000","$5,000",James Smith,General support
2024-01-03,LSG,USD,"52,000","$52,000",Joseph Isaac Bloom,General support
2024-01-03,LSG,USD,"19,000","$19,000",Martha Hollingsworth Elmore,General support
2024-01-03,LSG,USD,"96,000","$96,000",Richard David Goldstein,General support
2024-01-03,LSG,USD,"43,000","$43,000",Víctor Levoso Fernández,General support
2024-01-04,LSG,USD,"104,000","$104,000",Capital Technology Group LLC,General support for Automating Expert Assessment of LLMs for National Security Threats
2024-01-05,LSG,USD,"5,000","$5,000",Maximilian Schons,General support
2024-01-08,LSG,USD,"3,000","$3,000",Arun Jose,General support
2024-01-08,LSG,USD,"1,000","$1,000",Gaurav Yadav,General support
2024-01-08,LSG,USD,"55,100","$55,100",James Payor,General support
2024-01-08,LSG,USD,"87,000","$87,000",Nicholas Kees Dupuis,General support
2024-01-09,LSG,USD,"69,600","$69,600",Effective Ventures Foundation,General support for Long Term Future Fund
2024-01-18,FP-UK,USD,"378,000","$378,000",Effektiv Altruism Sverige,General support for Fønix
2024-01-19,FP-UK,USD,"66,000","$66,000",Effektiv Altruism Sverige,General support for Effective Altruism Sweden Rationality Research Project
2024-01-19,LSG,USD,"6,000","$6,000",Francis Rhys Ward,General support
2024-01-19,LSG,USD,"4,900","$4,900",Francis Rhys Ward,General support
2024-01-19,LSG,USD,"5,000","$5,000",Francis Rhys Ward,General support
2024-01-23,LSG,USD,"3,000","$3,000",Rajashree Agrawal,General support
2024-01-23,LSG,USD,"1,000","$1,000",Vinay Anand Hiremath,General support
2024-01-30,LSG,USD,"233,500","$233,500","Massachusetts Institute of Technology, Lab of Nir Shavit",General support for Tony Wang's PhD
2024-01-31,LSG,USD,"20,000","$20,000",Akbir Khan,General support
2024-02-02,LSG,USD,"3,010","$3,010",Vymenets Maksim Iurevich,General support
2024-02-02,LSG,USD,"2,100","$2,100",Vymenets Maksim Iurevich,General support
2024-02-09,LSG,USD,"111,000","$111,000",The Governing Council of the University of Toronto,General support for Colin Raffel
2024-02-15,FP-UK,USD,"100,000","$100,000",European Summer Program on Rationality,General support
2024-02-15,SFC,USD,"89,446","$89,446",SFC (costs),S-process development
2024-02-16,FP-US,USD,"370,000","$370,000",Palisade Research,General support
2024-02-16,FP-US,USD,"1,000,000","$1,000,000",The RAND Corporation,Unrestricted Gift
2024-02-19,LSG,USD,"250,000","$250,000",Ashgro,General support for Association for Long Term Existence and Resilience
2024-02-19,LSG,USD,"66,900","$66,900",Association for Long Term Existence and Resilience,General support
2024-02-23,FP-UK,USD,"23,000","$23,000",Association for Long Term Existence and Resilience,General support
2024-02-29,FP-UK,USD,"5,000","$5,000",Effective Ventures Foundation UK,General support for GovAI
2024-02-29,FP-UK,USD,"12,000","$12,000",Effective Ventures Foundation UK,"General support for 80,000 Hours"
2024-02-29,SFC,USD,"50,980","$50,980",SFC (costs),Misc Projects
2024-02-29,SFC,USD,"40,043","$40,043",SFC (costs),S-process execution
2024-02-29,SFC,USD,"10,891","$10,891",SFC (costs),M&G
2024-02-29,SFC,USD,"191,790","$191,790",SFC (costs),V-process development
2024-03-11,Solenum,EUR,"11,550","$12,627",TÜ Sihtasutus,TÜ teaduskooli tehisaru olümpiaad
2024-03-14,FP-UK,USD,"83,000","$83,000",Federation University Australia,General support for the Australian Responsible Autonomous Agents Group
2024-03-22,LSG,USD,"226,500","$226,500",Alpenglow Group,General support
2024-03-22,LSG,USD,"20,000","$20,000",Stichting PauseAI,General support
2024-03-27,LSG,USD,"41,000","$41,000","Epistea, Z.S.",General support for Arb Research
2024-03-27,LSG,USD,"11,000","$11,000","Massachusetts Institute of Technology, Lab of Nir Shavit",General support for Tong Wang's PhD
2024-04-04,LSG,USD,"17,000","$17,000",Jacques Thibodeau,General support
2024-04-08,LSG,USD,"6,700","$6,700",Oliver Hayman,General support
2024-04-09,LSG,USD,"35,000","$35,000",Elizabeth Van Nostrand,General support
2024-04-10,LSG,USD,"1,000","$1,000",Quintin Pope,General support
2024-04-10,LSG,USD,"184,000","$184,000",The Hack Foundation,"General support for Legal Advocates for Safe Science and Technology,Inc"
2024-04-15,LSG,USD,"3,000","$3,000",Elizabeth Van Nostrand,General support
2024-04-23,LSG,USD,"2,000","$2,000",Toby Newberry,General support
2024-04-24,LSG,USD,"134,600","$134,600",Ashgro,General support for Jeremy Gillen
2024-05-14,LSG,USD,"15,000","$15,000",Center for Applied Rationality,General support for Tushita Jha
2024-05-14,LSG,USD,"85,400","$85,400",Center for Applied Rationality,General support for Tushita Jha
